implementation|full jdk or legacy jre|tag|docker image operating system|archive URL
openjdk|jdk|jdk7u351-b01|debian|https://github.com/aashipov/openjdk-build/releases/download/1.0.0/jdk7u-linux-amd64-jdk7u351-b01.tar.gz
openjdk|jre|jdk7u351-b01|debian|https://github.com/aashipov/openjdk-build/releases/download/1.0.0/jre7u-linux-amd64-jdk7u351-b01.tar.gz

openjdk|jdk|jdk8u362-b09|debian|https://github.com/aashipov/openjdk-build/releases/download/1.0.0/jdk8u-linux-x86_64-jdk8u362-b09.tar.gz
openjdk|jre|jdk8u362-b09|debian|https://github.com/aashipov/openjdk-build/releases/download/1.0.0/jre8u-linux-x86_64-jdk8u362-b09.tar.gz

openjdk|jdk|jdk-11.0.18+10|debian|https://github.com/aashipov/openjdk-build/releases/download/1.0.0/jdk11u-linux-x86_64-jdk-11.0.18+10.tar.gz
openjdk|jre|jdk-11.0.18+10|debian|https://github.com/aashipov/openjdk-build/releases/download/1.0.0/jre11u-linux-x86_64-jdk-11.0.18+10.tar.gz

openjdk|jdk|jdk-11.0.18+10|alpine|https://github.com/aashipov/openjdk-build/releases/download/1.0.0/jdk11u-linux-x86_64-jdk-11.0.18+10-alpine.tar.gz
openjdk|jre|jdk-11.0.18+10|alpine|https://github.com/aashipov/openjdk-build/releases/download/1.0.0/jre11u-linux-x86_64-jdk-11.0.18+10-alpine.tar.gz


openjdk|jdk|jdk-17.0.6+10|debian|https://github.com/aashipov/openjdk-build/releases/download/1.0.0/jdk17u-linux-x86_64-jdk-17.0.6+10.tar.gz
openjdk|jre|jdk-17.0.6+10|debian|https://github.com/aashipov/openjdk-build/releases/download/1.0.0/jre17u-linux-x86_64-jdk-17.0.6+10.tar.gz

openjdk|jdk|jdk-17.0.6+10|alpine|https://github.com/aashipov/openjdk-build/releases/download/1.0.0/jdk17u-linux-x86_64-jdk-17.0.6+10-alpine.tar.gz
openjdk|jre|jdk-17.0.6+10|alpine|https://github.com/aashipov/openjdk-build/releases/download/1.0.0/jre17u-linux-x86_64-jdk-17.0.6+10-alpine.tar.gz

corretto|jdk|8.362.08.1|alpine|https://github.com/aashipov/corretto-build/releases/download/1.0.0/jdk8u-linux-x86_64-8.362.08.1-alpine.tar.gz
corretto|jre|8.362.08.1|alpine|https://github.com/aashipov/corretto-build/releases/download/1.0.0/jre8u-linux-x86_64-8.362.08.1-alpine.tar.gz

openj9|jdk|jdk8u362-b09-v0.36.0-release|debian|https://github.com/aashipov/openj9-openjdk-build/releases/download/1.0.0/jdk8u-linux-x86_64-jdk8u362-b09-v0.36.0-release.tar.gz
openj9|jre|jdk8u362-b09-v0.36.0-release|debian|https://github.com/aashipov/openj9-openjdk-build/releases/download/1.0.0/jre8u-linux-x86_64-jdk8u362-b09-v0.36.0-release.tar.gz

openj9|jdk|jdk-11.0.18+10-v0.36.1-release|debian|https://github.com/aashipov/openj9-openjdk-build/releases/download/1.0.0/jdk11u-linux-x86_64-jdk-11.0.18+10-v0.36.1-release.tar.gz
openj9|jre|jdk-11.0.18+10-v0.36.1-release|debian|https://github.com/aashipov/openj9-openjdk-build/releases/download/1.0.0/jre11u-linux-x86_64-jdk-11.0.18+10-v0.36.1-release.tar.gz

openj9|jdk|jdk-17.0.6+10-v0.36.0-release|debian|https://github.com/aashipov/openj9-openjdk-build/releases/download/1.0.0/jdk17u-linux-x86_64-jdk-17.0.6+10-v0.36.0-release.tar.gz
openj9|jre|jdk-17.0.6+10-v0.36.0-release|debian|https://github.com/aashipov/openj9-openjdk-build/releases/download/1.0.0/jre17u-linux-x86_64-jdk-17.0.6+10-v0.36.0-release.tar.gz
